corpus,htid,text_string,lang,occurs,author,title,pub_date,gender,genre,white,origin_area,origin_nation,place_id,formatted_address,location_type,country_long,country_short,admin_1_long,admin_1_short,admin_2,admin_3,admin_4,admin_5,locality,sublocality_1,sublocality_2,sublocality_3,neighborhood,premise,subpremise,street_number,street_address,route,post_code,natural_feature,point_of_interest,colloquial_area,continent,other,lat,lon,wordcount
Hathi,uc2.ark:/13960/t57d2zs04,"empire city",en,4,"Sir, Besant, Walter","The golden butterfly / by Walter Besant and James Rice.",1890,male,Fiction,"","","",ChIJOwg_06VPwokRYv534QaPC8g,"New York, NY, USA",locality,"United States",US,"New York",NY,"","","","","New York","","","","","","","","","","","","","","","",40.7127837,-74.0059413,242590
Hathi,uc1.b4102471,gotham,en,1,"MacDonald, George","Donal Grant, by George Macdonald ...",1883,male,Fiction,"","","",ChIJOwg_06VPwokRYv534QaPC8g,"New York, NY, USA",locality,"United States",US,"New York",NY,"","","","","New York","","","","","","","","","","","","","","","",40.7127837,-74.0059413,266018
Hathi,mdp.39015030708997,"ne v york",en,1,"Reade, Charles","The course of true love never did run smooth, by Charles Reade, D.C.L.",1891,male,Fiction,"","","",ChIJOwg_06VPwokRYv534QaPC8g,"New York, NY, USA",locality,"United States",US,"New York",NY,"","","","","New York","","","","","","","","","","","","","","","",40.7127837,-74.0059413,77621
Hathi,uc1.b3550271,"new yokk",en,1,"Dickens, Charles","The works of Charles Dickens ... with introduction, general essay, and notes by Andrew Lang.",1899,male,Fiction,"","","",ChIJOwg_06VPwokRYv534QaPC8g,"New York, NY, USA",locality,"United States",US,"New York",NY,"","","","","New York","","","","","","","","","","","","","","","",40.7127837,-74.0059413,216616
Hathi,mdp.39015063739745,"new york",en,1,"Kennard, Nina H., Mrs","Mrs. Siddons, by Mrs. A. Kennard.",1887,unknown,Fiction,"","","",ChIJOwg_06VPwokRYv534QaPC8g,"New York, NY, USA",locality,"United States",US,"New York",NY,"","","","","New York","","","","","","","","","","","","","","","",40.7127837,-74.0059413,93066
Hathi,nyp.33433074939798,"new york",en,1,"Sir, Besant, Walter","To call her mine, etc.",1891,male,Fiction,"","","",ChIJOwg_06VPwokRYv534QaPC8g,"New York, NY, USA",locality,"United States",US,"New York",NY,"","","","","New York","","","","","","","","","","","","","","","",40.7127837,-74.0059413,256357
Hathi,mdp.39015030737855,"new york",en,1,"Bowen, James L","The three hunters.",1866,male,Fiction,"","","",ChIJOwg_06VPwokRYv534QaPC8g,"New York, NY, USA",locality,"United States",US,"New York",NY,"","","","","New York","","","","","","","","","","","","","","","",40.7127837,-74.0059413,238831
Hathi,uc2.ark:/13960/t0bv7gq49,"new york",en,1,"A. L. O. E","Battling with the world / by A. L. O. E.",1899,unknown,Fiction,"","","",ChIJOwg_06VPwokRYv534QaPC8g,"New York, NY, USA",locality,"United States",US,"New York",NY,"","","","","New York","","","","","","","","","","","","","","","",40.7127837,-74.0059413,39637
Hathi,uc1.b4105203,"new york",en,1,"Hardy, Thomas","The woodlanders, by Thomas Hardy.",1887,male,Fiction,"","","",ChIJOwg_06VPwokRYv534QaPC8g,"New York, NY, USA",locality,"United States",US,"New York",NY,"","","","","New York","","","","","","","","","","","","","","","",40.7127837,-74.0059413,54191
Hathi,uiuo.ark:/13960/t7sn0v500,"new york",en,1,"Randolph, Mrs",Iris.,1882,unknown,Fiction,"","","",ChIJOwg_06VPwokRYv534QaPC8g,"New York, NY, USA",locality,"United States",US,"New York",NY,"","","","","New York","","","","","","","","","","","","","","","",40.7127837,-74.0059413,66189
Hathi,uc2.ark:/13960/t6833r171,"new york",en,1,"Lever, Charles James","[Charles Lever's novels.",1872,male,Fiction,"","","",ChIJOwg_06VPwokRYv534QaPC8g,"New York, NY, USA",locality,"United States",US,"New York",NY,"","","","","New York","","","","","","","","","","","","","","","",40.7127837,-74.0059413,166384
