corpus,htid,text_string,lang,occurs,author,title,pub_date,gender,genre,white,origin_area,origin_nation,place_id,formatted_address,location_type,country_long,country_short,admin_1_long,admin_1_short,admin_2,admin_3,admin_4,admin_5,locality,sublocality_1,sublocality_2,sublocality_3,neighborhood,premise,subpremise,street_number,street_address,route,post_code,natural_feature,point_of_interest,colloquial_area,continent,other,lat,lon,wordcount
Hathi,uc2.ark:/13960/t40r9pg9s,"county paris",en,1,"Bede, Cuthbert","The curate of Cranston; with other prose and verse, by Cuthbert Bede.",1862,male,Fiction,"","","",ChIJD7fiBh9u5kcRMCqLaMOCCwM,"Paris, France",administrative_area_level_2,France,FR,"Île-de-France","Île-de-France",Paris,"","","","","","","","","","","","","","","","","","","",48.8565823,2.3522148,79279
Hathi,nyp.33433067292536,"county paris",en,1,"Baron, Lytton, Edward Bulwer Lytton","Bulwer's novels.",1879,male,Fiction,"","","",ChIJD7fiBh9u5kcRMCqLaMOCCwM,"Paris, France",administrative_area_level_2,France,FR,"Île-de-France","Île-de-France",Paris,"","","","","","","","","","","","","","","","","","","",48.8565823,2.3522148,347694
Hathi,uc1.b3505973,paris,en,7,"Scott, Walter, Sir","The Waverley novels.",1894,unknown,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,230823
Hathi,njp.32101068162997,paris,en,3,"Aïdé, Hamilton","Penruddocke ...",1873,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,73493
Hathi,uc2.ark:/13960/t2s46wn4b,paris,en,3,"Reade, Charles","Peg Woffington. A novel.",1857,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,69006
Hathi,uva.x030764985,paris,en,64,"Oliphant, Laurence","Altiora Peto / by Laurence Oliphant.",1884,female,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,145170
Hathi,uc1.b3578372,paris,en,3,"Eiloart, Elizabeth","Out of her sphere.",1872,female,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,61174
Hathi,nyp.33433066600309,paris,en,1,"(Charles Wilkins), Webber, Charles W","The romance of forest and prairie life: narratives of perilous adventures and wild hunting scenes ...",1855,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,79890
Hathi,uiuo.ark:/13960/t6vx0rr2f,paris,en,2,"Hamilton, Rowan","The last of the cornets. A novel.",1890,mostly_male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,32838
Hathi,uc2.ark:/13960/t9v12349h,paris,en,12,"Conway, Hugh","Dark days, by Hugh Conway (F. J. Fargus) ...",1884,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,68097
