Group 1	Low 1	MEAN 1	High 1	Group 2	Low 2	MEAN 2	High 2	p-value	sig
androg	[51.50021084 -0.16399405]	[51.5078461  -0.14654949]	[51.51548135 -0.12910493]	female	[51.50738468 -0.16443997]	[51.50815424 -0.16271543]	[51.50892379 -0.16099089]	[0.94681838 0.11846632]	
androg	[51.50021084 -0.16399405]	[51.5078461  -0.14654949]	[51.51548135 -0.12910493]	male	[51.51070702 -0.16118776]	[51.51101516 -0.16021749]	[51.51132329 -0.15924722]	[0.3798688 0.228839 ]	
androg	[51.50021084 -0.16399405]	[51.5078461  -0.14654949]	[51.51548135 -0.12910493]	mostly_female	[51.50813943 -0.17841076]	[51.50973576 -0.17376565]	[51.51133209 -0.16912053]	[0.58602501 0.00643617]	##
androg	[51.50021084 -0.16399405]	[51.5078461  -0.14654949]	[51.51548135 -0.12910493]	mostly_male	[51.50881791 -0.16453144]	[51.51137002 -0.1567695 ]	[51.51392212 -0.14900756]	[0.37732801 0.38890524]	
androg	[51.50021084 -0.16399405]	[51.5078461  -0.14654949]	[51.51548135 -0.12910493]	unknown	[51.51302064 -0.16691098]	[51.51385361 -0.16447556]	[51.51468658 -0.16204015]	[0.14147264 0.13277863]	
female	[51.50738468 -0.16443997]	[51.50815424 -0.16271543]	[51.50892379 -0.16099089]	male	[51.51070702 -0.16118776]	[51.51101516 -0.16021749]	[51.51132329 -0.15924722]	[6.65842565e-15 1.92036655e-02]	###
female	[51.50738468 -0.16443997]	[51.50815424 -0.16271543]	[51.50892379 -0.16099089]	mostly_female	[51.50813943 -0.17841076]	[51.50973576 -0.17376565]	[51.51133209 -0.16912053]	[1.71176134e-01 2.94416536e-05]	###
female	[51.50738468 -0.16443997]	[51.50815424 -0.16271543]	[51.50892379 -0.16099089]	mostly_male	[51.50881791 -0.16453144]	[51.51137002 -0.1567695 ]	[51.51392212 -0.14900756]	[0.04694884 0.10676647]	#
female	[51.50738468 -0.16443997]	[51.50815424 -0.16271543]	[51.50892379 -0.16099089]	unknown	[51.51302064 -0.16691098]	[51.51385361 -0.16447556]	[51.51468658 -0.16204015]	[9.32489574e-22 2.34300643e-01]	###
male	[51.51070702 -0.16118776]	[51.51101516 -0.16021749]	[51.51132329 -0.15924722]	mostly_female	[51.50813943 -0.17841076]	[51.50973576 -0.17376565]	[51.51133209 -0.16912053]	[1.49734691e-01 1.21839159e-06]	###
male	[51.51070702 -0.16118776]	[51.51101516 -0.16021749]	[51.51132329 -0.15924722]	mostly_male	[51.50881791 -0.16453144]	[51.51137002 -0.1567695 ]	[51.51392212 -0.14900756]	[0.77678399 0.38138334]	
male	[51.51070702 -0.16118776]	[51.51101516 -0.16021749]	[51.51132329 -0.15924722]	unknown	[51.51302064 -0.16691098]	[51.51385361 -0.16447556]	[51.51468658 -0.16204015]	[9.46924212e-12 1.00549092e-03]	###
mostly_female	[51.50813943 -0.17841076]	[51.50973576 -0.17376565]	[51.51133209 -0.16912053]	mostly_male	[51.50881791 -0.16453144]	[51.51137002 -0.1567695 ]	[51.51392212 -0.14900756]	[2.66941073e-01 1.02351145e-04]	###
mostly_female	[51.50813943 -0.17841076]	[51.50973576 -0.17376565]	[51.51133209 -0.16912053]	unknown	[51.51302064 -0.16691098]	[51.51385361 -0.16447556]	[51.51468658 -0.16204015]	[8.66995246e-05 2.43440567e-03]	###
mostly_male	[51.50881791 -0.16453144]	[51.51137002 -0.1567695 ]	[51.51392212 -0.14900756]	unknown	[51.51302064 -0.16691098]	[51.51385361 -0.16447556]	[51.51468658 -0.16204015]	[0.08764743 0.07075508]	
